2022-01-31 01:18:06.6025 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 01:21:26.1694 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 01:23:29.0331 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 18:56:28.7714 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 20:29:59.2373 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 20:33:57.1554 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 23:43:34.6059 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 23:43:56.7255 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 23:44:50.2890 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 23:45:29.1387 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 23:49:03.5341 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 23:49:57.3171 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-31 23:51:20.2919 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
