2024-08-21 00:21:21.8715 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 00:22:03.9845 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelBook created | 
2024-08-21 00:40:10.2719 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 00:43:30.8867 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 00:45:03.4817 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 00:46:17.4562 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 00:48:16.4439 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelBook created | 
2024-08-21 00:51:17.3300 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 00:55:12.0103 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 01:04:56.9546 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 01:06:30.0450 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 01:07:13.7019 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 02:05:24.8816 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
2024-08-21 02:09:39.3172 | TRACE | Bookstore.ViewModel.ViewModelBase | ViewModelMain created | 
